Niger,554.6,571.5,516.9,17.7,17.1
Nigeria,2229.9,2032.7,1968.6,215.1,209.6
Northern Mariana Islands,..,23258.7,28305.2,123.7,123.0
Norway,75419.6,81734.5,75496.8,14.5,14.5
Oman,15474.0,16414.9,15130.9,15.6,15.1
Pakistan,1284.7,1482.3,1465.0,275.3,269.7
Palau,..,15859.4,16078.3,38.9,38.7
Panama,15731.0,15592.6,15150.3,56.2,55.2
Papua New Guinea,2845.2,2720.4,2695.3,19.0,18.6
Paraguay,5414.8,5805.7,5680.6,17.5,17.3
Peru,6977.7,6941.2,6710.5,25.0,24.6
Philippines,3485.1,3252.1,3123.2,357.7,352.7
Poland,15595.2,15460.6,13861.3,124.0,124.0
Portugal,23145.0,23461.6,21490.4,112.3,112.4
Puerto Rico,32873.7,31621.9,31108.8,360.0,374.9
Qatar,64781.7,68793.8,61264.4,239.6,234.7
Romania,12919.5,12408.6,10807.8,84.6,85.1
Russian Federation,11585.0,11370.8,10720.3,8.8,8.8
Rwanda,801.7,782.6,772.3,498.7,485.6
Samoa,4315.9,4183.4,4258.5,69.3,69.0
San Marino,..,48481.0,45394.2,563.1,561.2
Sao Tome and Principe,1994.9,2001.1,1811.0,219.8,215.7
Saudi Arabia,23139.8,23339.0,20803.7,15.7,15.4
Senegal,1446.8,1465.6,1361.7,82.3,80.1
Serbia,7402.4,7246.2,6284.2,79.8,80.3
Seychelles,17401.7,16390.8,15906.1,210.4,208.4
Sierra Leone,504.5,534.0,499.4,106.0,103.7
Singapore,65233.3,66188.8,60913.7,7953.0,7915.7
Sint Maarten (Dutch part),..,..,..,..,1193.4
Slovak Republic,19329.1,19428.1,17554.3,113.3,113.1
Slovenia,25739.2,26054.5,23500.8,103.0,102.6
Solomon Islands,2127.5,2137.7,2059.0,23.3,22.7
Somalia,..,..,..,23.9,23.3
South Africa,6001.4,6374.0,6132.5,47.6,47.0
South Sudan,..,..,..,..,..
Spain,29613.7,30337.7,28170.4,93.7,93.3
Sri Lanka,3853.1,4080.6,4077.0,345.6,342.0
St. Kitts and Nevis,19896.5,19275.3,19155.3,201.7,200.2
St. Lucia,11611.4,11357.9,11047.4,298.2,296.6
St. Martin (French part),..,..,..,..,672.1
St. Vincent and the Grenadines,7463.5,7361.4,7213.0,282.6,281.6
Sudan,441.5,623.9,1111.9,..,..
Suriname,6854.9,6003.7,5626.8,3.7,3.7
Eswatini,3837.0,4146.0,3953.1,66.1,65.4
Sweden,51610.1,54589.1,53791.5,25.0,24.7
Switzerland,81993.7,82818.1,80450.0,215.5,213.9
Syrian Arab Republic,..,..,..,92.1,92.9
Tajikistan,870.8,826.6,806.0,65.6,64.0
Tanzania,1122.1,1061.0,1004.8,63.6,61.7
Thailand,7808.2,7295.5,6592.9,135.9,135.5
Timor-Leste,1294.2,1237.1,1294.7,85.3,83.6
Togo,675.5,679.0,626.1,145.0,141.5
Tonga,..,4364.0,4217.5,143.3,141.7
Trinidad and Tobago,17276.5,17129.9,16238.2,270.9,269.8
Tunisia,3317.5,3438.8,3481.2,74.4,73.6
Turkey,9042.5,9370.2,10513.6,107.0,105.4
Turkmenistan,..,6966.6,6587.1,12.5,12.3
Turks and Caicos Islands,..,27142.2,25933.6,39.6,39.1
Tuvalu,4059.0,3700.7,3572.5,383.6,379.0
Uganda,776.8,767.1,747.2,213.1,205.3
Ukraine,3659.0,3096.8,2640.7,77.0,77.4
United Arab Emirates,43103.3,43839.4,40644.8,135.6,133.6
United Kingdom,42300.3,43043.2,40361.4,274.7,273.0
United States,65118.4,62840.0,59957.7,35.7,35.5
